"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if expiration date has invalid formatted date","1580","Verify that the POST Create API will fail if expiration date has invalid formatted date","features.APITests.steps","Mon Jan 26 08:25:59 UTC 2026","passed","Mon Jan 26 08:26:01 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Verify that the Update API will be fails if patient's date of birth has future or invalid formatted date","2680","Verify that the Update API will be fails if patient's date of birth has future or invalid formatted date","features.APITests.steps","Mon Jan 26 08:30:17 UTC 2026","passed","Mon Jan 26 08:30:19 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient forename is invalid","1565","Verify that the POST Create API will fail if patient forename is invalid","features.APITests.steps","Mon Jan 26 08:26:07 UTC 2026","passed","Mon Jan 26 08:26:09 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","1505","Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","features.APITests.steps","Mon Jan 26 08:25:54 UTC 2026","passed","Mon Jan 26 08:25:56 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Scenario Outline name: Verify that the Update API will be fails if occurrenceDateTime has future or invalid formatted date","2734","Scenario Outline name: Verify that the Update API will be fails if occurrenceDateTime has future or invalid formatted date","features.APITests.steps","Mon Jan 26 08:29:46 UTC 2026","passed","Mon Jan 26 08:29:49 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","2693","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Jan 26 08:27:14 UTC 2026","passed","Mon Jan 26 08:27:17 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","2821","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Jan 26 08:27:34 UTC 2026","passed","Mon Jan 26 08:27:37 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if date to is invalid","1988","Verify that Search API will throw error if date to is invalid","features.APITests.steps","Mon Jan 26 08:28:49 UTC 2026","passed","Mon Jan 26 08:28:51 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/read.feature: Flu event is created and updated twice and read request fetch the latest version and Etag","5920","Flu event is created and updated twice and read request fetch the latest version and Etag","features.APITests.steps","Mon Jan 26 08:26:55 UTC 2026","passed","Mon Jan 26 08:27:01 UTC 2026","","Read the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if both different combination of dates and include is invalid","1975","Verify that Search API will throw error if both different combination of dates and include is invalid","features.APITests.steps","Mon Jan 26 08:28:19 UTC 2026","passed","Mon Jan 26 08:28:21 UTC 2026","","Search the immunization of a patient","",""
